ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
49	Building Steam No. 121 (CAM 1985.1)	Escultura	Vidro, Metal e Couro	1983	Cranbrook Academy of Art	Donald Lipski	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Criada pelo ex-aluno do Departamento de Cerâmica da Cranbrook, Donald Lipski, esta escultura da série "Building Steam" caracteriza-se pela forte tensão metafísica gerada entre materiais díspares reunidos em um novo contexto. A peça apresenta um frasco de plasma humano preenchido com partículas suspensas em líquido, aprisionado em uma gaiola de metal (uma cobertura de lâmpada de barco), tudo suspenso abaixo de uma tira de couro firmemente presa a um filtro de ar industrial. Essa linguagem de materiais submetidos a pressão sugere uma contenção em equilíbrio precário, criando uma reflexão sobre a compressão e a expansão do tempo. A obra atua como um quadro congelado do intangível, oferecendo aos estudantes da academia uma referência poderosa sobre apropriação, ressignificação e a iminência de forças físicas invisíveis.	Vidro, Metal, Couro, Filtro de ar, Fluidos	Escultural, Vertical, Assimétrico	Assemblage, Tensionamento, Suspensão, Justaposição
50	Clothespin-Four Foot Version (CAM 2002.30)	Escultura	Bronze, Aço inoxidável e Acrílico	1974	Pop Art 	Claes Oldenburg	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Criada por Claes Oldenburg, a principal figura escultórica da Pop Art americana, esta obra subverte a lógica dos artefatos cotidianos da sociedade de consumo através da simplificação formal e do uso de materiais inesperados. Ao contrário da versão conceitual pensada para Chicago ou do colossal monumento de 45 pés erguido na Filadélfia, esta edição de quatro pés adota uma proporção mais íntima e voltada para o espaço interior. Produzida no "material nobre" do bronze, acompanhada por uma mola de aço inoxidável e assentada sobre uma base de acrílico, a forma transfigura o mero prendedor de roupas em uma presença antropomórfica. A peça evoca a pose confiante de uma estátua grega clássica — com "pernas" firmemente afastadas e "braços" cruzados —, demonstrando a genialidade do artista em instilar maravilha, sagacidade e múltiplas identidades em objetos utilitários ordinários.	Bronze, Aço, Acrílico	Escultural, Antropomórfico, Minimalista	Fundição, Alteração de escala, Composição volumétrica, Sistema mecânico
51	Edson-Pelé (from 10 Portraits of Athletes) (CAM 2002.46)	Pintura	Acrílica e Serigrafia sobre tela	1977	Pop Art	Andy Warhol	Produção artesanal	Refazendo a classificação com os dados exatos da obra original. Pertencente à série "10 Portraits of Athletes" do final da década de 1970, este trabalho retrata a lenda do futebol brasileiro Pelé, evidenciando o profundo fascínio de Andy Warhol pela fama e pela cultura de celebridades. A peça ilustra o estilo adotado pelo artista na época, justapondo a precisão mecânica e desapegada de uma serigrafia fotográfica de alto contraste com pinceladas soltas e gestuais de tinta acrílica. As passagens vibrantes de cor reverberam ao redor da cabeça do atleta e destacam proeminentemente o logotipo da marca "Spalding", prestando homenagem tanto ao talento do ícone esportivo quanto à realidade da era do consumo pós-industrial. Inserida no acervo do museu, a obra serve como um recurso educacional valioso sobre a intersecção entre processos mecânicos de reprodução, pintura expressiva e a construção visual do ídolo na cultura de massa.	Tinta, Tela, Fotografia	Figurativo, Contraste cromático, Sobreposição	Serigrafia, Pintura gestual, Sobreposição gráfica, Fotomontagem
52	Edifício da HfG Ulm (Campus no Ulmer Kuhberg)	Arquitetura	Concreto, Vidro e Aço	1955	HfG Ulm / Good Design	Max Bill	Design Assinado	Projetado por Max Bill, cofundador e primeiro reitor da instituição, o edifício da HfG Ulm no Ulmer Kuhberg é um marco do funcionalismo e da arquitetura moderna do pós-guerra. A obra reflete diretamente o ideal central da escola de adequar as formas de vida ao desenvolvimento técnico-industrial. Estruturado com extrema racionalidade matemática e topológica, o complexo foi desenhado sem ornamentos, utilizando vastas esquadrias de vidro e lajes de concreto. Seu traçado modular e escalonado adapta-se à topografia do terreno e promove a integração fluida entre as oficinas, salas de aula e alojamentos, materializando a visão interdisciplinar do ensino. O edifício funciona como um "manifesto construído" do rigor formal e do racionalismo que pautariam o currículo da instituição, estabelecendo o ambiente propício para a transição do design como arte aplicada para uma disciplina fundamentada em métodos científicos exatos.	Concreto, Vidro, Aço	Ortogonal, Geométrico, Minimalista	Construção modular, Estrutura em concreto, Padronização
53	Ulmer Hocker (Banco de Ulm)	Mobiliário	Madeira de abeto e faia	1954	HfG Ulm / Good Design	Max Bill, Hans Gugelot e Paul Hildinger	Design Assinado	O Banco de Ulm (Ulmer Hocker) é um dos objetos mais emblemáticos da HfG Ulm, concebido inicialmente para o uso dos próprios estudantes nas instalações do Ulmer Kuhberg. Desenvolvido em conjunto pelo primeiro reitor Max Bill, o docente Hans Gugelot e o mestre de oficina Paul Hildinger, o banco materializa perfeitamente a filosofia da "Boa Forma" (Good Design) e a alta utilidade com extrema economia de recursos. Composto por apenas três tábuas de madeira unidas por precisos encaixes e estabilizadas por um bastão cilíndrico na base, o objeto rejeita o viés do design de luxo, operando de forma altamente versátil como assento, mesa de apoio, estante empilhável ou bandeja para transporte de materiais. Sua estrutura exemplifica o rigor metodológico, o pensamento cartesiano e a inteligência técnica voltada para a produção, representando a essência do racionalismo pregado pela escola.	Madeira	Ortogonal, Geométrico, Minimalista	Marcenaria industrial, Encaixe, Padronização, Produção seriada
54	Rádio de mesa Braun TS-G	Design de Produto	Madeira, Metal e Plástico	1955	HfG Ulm / Good Design	Hans Gugelot	Produção industrial	Desenvolvido por Hans Gugelot, figura central do departamento de Design de Produtos da HfG Ulm, o rádio TS-G para a Braun é um marco histórico na cooperação tecnológica entre a academia e a indústria. A peça rompe radicalmente com a estética de mobiliário pesado e ornamentado típica dos eletrodomésticos da época, adotando uma abordagem pautada no rigor científico, na clareza funcional e no pensamento cartesiano. Este projeto ajudou a definir os padrões do "Good Design" (Boa Forma) internacional, apresentando uma interface limpa, proporções exatas e alta utilidade. O aparelho exemplifica a atuação da escola voltada ao desenvolvimento de bens de massa por meio de metodologias de projeto sistêmicas, rejeitando o viés puramente artístico para estruturar a identidade corporativa e visual que consagraria a Braun globalmente.	Madeira, Metal, Plástico, Componentes eletrônicos	Ortogonal, Geométrico, Minimalista	Montagem industrial, Engenharia de produto, Padronização, Sistema modular
55	Sistema de mobiliário de escritório M 125	Mobiliário	Madeira, Metal e Plástico	1956	HfG Ulm / Good Design	Hans Gugelot	Produção industrial	O sistema de mobiliário M 125, concebido por Hans Gugelot, é a materialização absoluta do design sistêmico e das metodologias rigorosas do departamento de Design de Produtos da HfG Ulm. Baseado em uma grade modular exata e matemática (com a proporção base de 125 mm), o projeto substitui a mobília estática tradicional por uma solução arquitetônica flexível e combinatória para ambientes de trabalho. Rejeitando qualquer abordagem estilística ou puramente artística em prol do racionalismo científico, o sistema aplica o pensamento cartesiano para criar componentes padronizados e intercambiáveis (painéis, superfícies de trabalho, conectores) que garantem alta utilidade e montagem lógica. A obra é um marco na adequação do design ao desenvolvimento técnico-industrial de bens de produção, definindo o paradigma estrutural da "Boa Forma" corporativa e a racionalização do ambiente administrativo do pós-guerra.	Madeira, Metal, Plástico	Modular, Ortogonal, Geométrico	Produção seriada, Padronização, Engenharia de sistemas, Encaixe
56	 Braun SK 4	Design de Produto	Metal, Madeira e Acrílico	1956	HfG Ulm / Good Design	Hans Gugelot e Dieter Rams	Produção industrial	O toca-discos SK 4, popularmente conhecido como "Caixão de Branca de Neve" devido à sua inovadora tampa de acrílico transparente, é um dos maiores símbolos da parceria tecnológica e metodológica entre o departamento de Design de Produtos da HfG Ulm (via Hans Gugelot) e a empresa Braun (com Dieter Rams). O projeto revolucionou o design de equipamentos de áudio, rompendo definitivamente com a tradição de camuflar eletroeletrônicos em pesados móveis ornamentados. Adotando o rigor científico, a ergonomia e o pensamento cartesiano característicos do modelo de ensino de Ulm, a peça exibe uma carcaça metálica clara com laterais de madeira simplificadas e controles dispostos com lógica topológica exata. A tampa de plexiglass não apenas protege, mas deixa visível a inteligência técnica do aparelho, materializando o padrão de "Boa Forma" e consolidando uma estética industrial funcionalista que influenciaria o design global nas décadas seguintes.	Metal, Madeira, Acrílico, Componentes eletrônicos	Translúcido, Ortogonal, Geométrico	Produção seriada, Montagem industrial, Engenharia de produto, Interface lógica ergonômica
57	Relógio de parede de cozinha com timer (Junghans)	Design de Produto	Cerâmica, Vidro e Metal	1956	HfG Ulm / Good Design	Max Bill	Produção industrial	Desenhado pelo cofundador e primeiro reitor da HfG Ulm, Max Bill, para a fabricante Junghans, este relógio com timer integrado é um arquétipo do design funcionalista e da precisão visual. Concebido nos primeiros anos da escola, o objeto reflete a transição das raízes formativas da Bauhaus para o rigor matemático e a topologia exata que definiriam a "Boa Forma" (Good Design). A ausência absoluta de ornamentos decorativos, a tipografia perfeitamente legível construída sobre proporções lógicas e a silhueta em forma de gota — projetada exclusivamente para integrar o mostrador principal e o timer mecânico inferior em um único volume estrutural — demonstram a adequação da forma à sua alta utilidade. O relógio evidencia a aplicação do pensamento cartesiano no desenvolvimento de bens de consumo diário para a produção em massa, estabelecendo um padrão lógico e atemporal para a relojoaria moderna.	Cerâmica, Vidro, Metal, Componentes mecânicos	Geométrico, Tipográfico, Minimalista	Produção seriada, Moldagem, Design de mostradores, Montagem industrial
58	Braun KM 3	Design de Produto	Plástico e Metal	1957	HfG Ulm / Good Design	Gerd Alfred Müller	Produção industrial	Desenvolvido por Gerd Alfred Müller em alinhamento com a cooperação tecnológica estabelecida entre a Braun e a HfG Ulm, o processador de alimentos KM 3 é um ícone atemporal da "Boa Forma" (Good Design) e do funcionalismo alemão. Concebido para a produção em massa, o eletrodoméstico rompe com as complexidades visuais de seus predecessores, adotando uma base cilíndrica e formas geométricas essenciais que comunicam sua função de maneira intuitiva. O projeto reflete o rigor científico, a alta utilidade e a ergonomia priorizados pela escola, operando por meio de um sistema modular em que o motor básico aceita diferentes acessórios de encaixe lógico e preciso. A ausência de ornamentos e a inteligência técnica do design garantiram não apenas o sucesso comercial da peça, mas também sua permanência no mercado por décadas, consagrando a estética racionalista na modernização dos ambientes domésticos.	Plástico, Metal, Componentes eletromecânicos	Cilíndrico, Geométrico, Minimalista	Produção seriada, Moldagem por injeção, Sistema modular, Engenharia de produto
59	Barbeador elétrico Braun sixtant SM 31	Design de Produto	Plástico e Metal	1962	HfG Ulm / Good Design	Hans Gugelot e Gerd Alfred Müller	Produção industrial	Projetado por Hans Gugelot e Gerd Alfred Müller, o barbeador elétrico sixtant SM 31 representa o auge da cooperação tecnológica e metodológica estabelecida entre o departamento de Design de Produtos da HfG Ulm e a empresa Braun. Consolidando o paradigma do "Good Design" (Boa Forma), o projeto substitui qualquer pretensão estilística ou de arte aplicada por um rigoroso estudo ergonômico e científico. A inovação central da peça reside em sua cabeça de corte, equipada com uma folha metálica microperfurada cujo padrão foi desenvolvido através de métodos matemáticos exatos para maximizar a precisão e a segurança do usuário. A carcaça de plástico em tonalidade sóbria e a disposição perfeitamente lógica de seus comandos exemplificam o pensamento cartesiano característico da escola, materializando a adequação definitiva dos objetos de uso diário ao desenvolvimento técnico-industrial e à produção em massa.	Plástico, Aço, Componentes eletromecânicos	Texturizado, Geométrico, Minimalista	Produção seriada, Moldagem por injeção, Microperfuração, Montagem eletromecânica
